year,classification,female,male,non-binary
1952,Painting,0.0,17.0,0.0
1952,Periodical,1.0,17.0,0.0
1952,Photograph,1.0,1.0,0.0
1952,Print,11.0,82.0,0.0
1952,Sculpture,0.0,6.0,0.0
1953,All,12.0,187.0,0.0
1953,Architecture,0.0,1.0,0.0
1953,Design,4.0,61.0,0.0
1953,Drawing,3.0,30.0,0.0
1953,Illustrated Book,0.0,4.0,0.0
1953,Painting,1.0,20.0,0.0
1953,Photograph,0.0,3.0,0.0
1953,Print,3.0,54.0,0.0
1953,Sculpture,1.0,14.0,0.0
1954,All,20.0,308.0,0.0
1954,Architecture,0.0,1.0,0.0
1954,Design,5.0,44.0,0.0
1954,Drawing,1.0,29.0,0.0
1954,Illustrated Book,0.0,21.0,0.0
1954,Painting,4.0,25.0,0.0
1954,Photograph,3.0,20.0,0.0
1954,Print,7.0,163.0,0.0
1954,Sculpture,0.0,5.0,0.0
1955,All,9.0,172.0,0.0
1955,Design,0.0,26.0,0.0
1955,Drawing,2.0,18.0,0.0
1955,Illustrated Book,0.0,8.0,0.0
1955,Painting,4.0,26.0,0.0
1955,Photograph,0.0,2.0,0.0
1955,Print,3.0,81.0,0.0
1955,Sculpture,0.0,11.0,0.0
1956,All,11.0,309.0,0.0
1956,Architecture,0.0,1.0,0.0
1956,Design,2.0,82.0,0.0
1956,Drawing,1.0,40.0,0.0
1956,Illustrated Book,1.0,19.0,0.0
1956,Painting,3.0,33.0,0.0
1956,Periodical,0.0,9.0,0.0
1956,Photograph,0.0,4.0,0.0
1956,Print,2.0,107.0,0.0
1956,Sculpture,2.0,14.0,0.0
1957,All,9.0,141.0,0.0
1957,Design,3.0,39.0,0.0
1957,Drawing,1.0,22.0,0.0
1957,Ephemera,0.0,1.0,0.0
1957,Illustrated Book,0.0,1.0,0.0
1957,Painting,0.0,17.0,0.0
1957,Photograph,0.0,1.0,0.0
1957,Print,4.0,54.0,0.0
1957,Sculpture,1.0,6.0,0.0
1958,All,23.0,253.0,0.0
1958,Architecture,0.0,2.0,0.0
1958,Design,10.0,57.0,0.0
1958,Drawing,2.0,27.0,0.0
1958,Illustrated Book,0.0,10.0,0.0
1958,Painting,2.0,31.0,0.0
1958,Print,8.0,117.0,0.0
1958,Sculpture,1.0,9.0,0.0
1959,All,28.0,294.0,0.0
1959,Design,1.0,5.0,0.0
1959,Drawing,0.0,10.0,0.0
1959,Illustrated Book,2.0,8.0,0.0
1959,Painting,0.0,35.0,0.0
1959,Photograph,18.0,149.0,0.0
1959,Print,5.0,68.0,0.0
1959,Sculpture,2.0,19.0,0.0
1960,All,20.0,192.0,0.0
1960,Architecture,0.0,2.0,0.0
1960,Design,3.0,45.0,0.0
1960,Drawing,0.0,24.0,0.0
1960,Illustrated Book,0.0,6.0,0.0
1960,Painting,5.0,28.0,0.0
1960,Photograph,6.0,45.0,0.0
1960,Print,2.0,29.0,0.0
1960,Sculpture,4.0,13.0,0.0
1961,All,24.0,219.0,0.0
1961,Architecture,0.0,1.0,0.0
1961,Design,2.0,35.0,0.0
1961,Drawing,4.0,31.0,0.0
1961,Illustrated Book,0.0,4.0,0.0
1961,Painting,4.0,38.0,0.0
1961,Photograph,3.0,14.0,0.0
1961,Print,8.0,68.0,0.0
1961,Sculpture,3.0,28.0,0.0
1962,All,13.0,154.0,0.0
1962,Architecture,0.0,1.0,0.0
1962,Design,3.0,17.0,0.0
1962,Drawing,1.0,64.0,0.0
1962,Illustrated Book,0.0,2.0,0.0
1962,Painting,1.0,17.0,0.0
1962,Photograph,4.0,18.0,0.0
1962,Print,3.0,22.0,0.0
1962,Sculpture,1.0,13.0,0.0
1963,All,23.0,269.0,0.0
1963,Architecture,0.0,3.0,0.0
1963,Design,1.0,40.0,0.0
1963,Drawing,7.0,73.0,0.0
1963,Illustrated Book,1.0,8.0,0.0
1963,Mies van der Rohe Archive,0.0,1.0,0.0
1963,Painting,1.0,28.0,0.0
1963,Photograph,2.0,11.0,0.0
1963,Print,9.0,90.0,0.0
1963,Sculpture,2.0,15.0,0.0
1964,All,59.0,600.0,0.0
1964,Architecture,0.0,1.0,0.0
1964,Design,1.0,28.0,0.0
1964,Drawing,7.0,47.0,0.0
1964,Film (object),0.0,1.0,0.0
1964,Illustrated Book,20.0,277.0,0.0
1964,Mies van der Rohe Archive,0.0,1.0,0.0
1964,Multiple,0.0,1.0,0.0
1964,Painting,4.0,26.0,0.0
1964,Photograph,15.0,90.0,0.0
1964,Print,10.0,107.0,0.0
1964,Sculpture,2.0,21.0,0.0
1965,All,35.0,388.0,0.0
1965,Architecture,0.0,2.0,0.0
1965,Design,5.0,39.0,0.0
1965,Drawing,6.0,57.0,0.0
1965,Ephemera,1.0,0.0,0.0
1965,Illustrated Book,3.0,37.0,0.0
1965,Mies van der Rohe Archive,0.0,1.0,0.0
1965,Painting,4.0,35.0,0.0
1965,Photograph,6.0,49.0,0.0
1965,Print,10.0,140.0,0.0
1965,Sculpture,0.0,28.0,0.0
1966,All,20.0,309.0,0.0
1966,Architecture,0.0,4.0,0.0
1966,Design,4.0,46.0,0.0
1966,Drawing,3.0,54.0,0.0
1966,Illustrated Book,0.0,25.0,0.0
1966,Mies van der Rohe Archive,0.0,1.0,0.0
