Date,Index,Inflation
1913-03-31,9.8,0.0
1913-06-30,9.766666666666667,0.003333333333333336
1913-09-30,9.933333333333334,0.6766666666666667
1913-12-31,10.033333333333333,0.003333333333333336
1914-03-31,9.933333333333334,-0.3333333333333333
1914-06-30,9.866666666666667,0.003333333333333336
1914-09-30,10.133333333333333,1.0033333333333332
1914-12-31,10.133333333333333,-0.3233333333333333
1915-03-31,10.0,-0.6633333333333333
1915-06-30,10.066666666666666,0.6699999999999999
1915-09-30,10.1,0.0
1915-12-31,10.266666666666667,0.6566666666666666
1916-03-31,10.433333333333334,0.6433333333333333
1916-06-30,10.700000000000001,0.94
1916-09-30,10.933333333333332,0.92
1916-12-31,11.466666666666667,1.4800000000000002
1917-03-31,11.9,1.14
1917-06-30,12.799999999999999,2.716666666666667
1917-09-30,13.033333333333333,0.7766666666666667
1917-12-31,13.566666666666668,0.9933333333333333
1918-03-31,14.033333333333333,0.73
1918-06-30,14.466666666666667,1.64
1918-09-30,15.4,2.22
1918-12-31,16.266666666666666,1.6733333333333331
1919-03-31,16.366666666666664,-0.19666666666666668
1919-06-30,16.833333333333332,1.01
1919-09-30,17.633333333333333,1.7466666666666668
1919-12-31,18.5,2.02
1920-03-31,19.5,1.3966666666666667
1920-06-30,20.599999999999998,1.9966666666666668
1920-09-30,20.366666666666667,-1.4533333333333331
1920-12-31,19.7,-1.0066666666666666
1921-03-31,18.566666666666666,-1.92
1921-06-30,17.8,-1.2866666666666666
1921-09-30,17.633333333333333,-0.18666666666666665
1921-12-31,17.400000000000002,-0.37999999999999995
1922-03-31,16.833333333333332,-1.1633333333333333
1922-06-30,16.7,0.0
1922-09-30,16.666666666666668,-0.19666666666666666
1922-12-31,16.8,0.6
1923-03-31,16.8,-0.19666666666666666
1923-06-30,16.933333333333334,0.39666666666666667
1923-09-30,17.166666666666668,0.3933333333333333
1923-12-31,17.3,0.19333333333333333
1924-03-31,17.2,-0.38666666666666666
1924-06-30,17.0,-0.19333333333333333
